"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7ljmkpqS95PMgCL5Uf6BEO","Devil in Disguise","spotify:artist:1pYPWJEmCbWjcqnxw3qcyo","EMM","spotify:album:1veeTMcnoKV1sEhYNAxAi8","RUBY","spotify:artist:1pYPWJEmCbWjcqnxw3qcyo","EMM","2020-02-07","https://i.scdn.co/image/ab67616d0000b27381c2535a01d85db433eca286","1","6","205195","https://p.scdn.co/mp3-preview/4bfa37e90780e6443a8823ba14f75afba02b4273?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBKPL2081323","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-12T00:39:42Z"
"spotify:track:4nGPkwJneWvC3ckbQvgEdJ","One Tribe (Defqon.1 2019 Anthem)","spotify:artist:0caJEGgVuXuSHhhrMCmlkI","Sefa","spotify:album:3hEk2TNa9bH3Rq6AVzPQeF","One Tribe (Defqon.1 2019 Anthem)","spotify:artist:0caJEGgVuXuSHhhrMCmlkI","Sefa","2019-05-17","https://i.scdn.co/image/ab67616d0000b273f8109ab499f1103e5457fea6","1","1","273414","https://p.scdn.co/mp3-preview/acea0f9557079abc65cbc81f9d74149eeab58c76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLH2L1900024","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-12T00:40:16Z"
"spotify:track:4ZJVtATf78hjgRe9Ov8csj","Reverse The Bass","spotify:artist:1CqOLQmjzVWXQTiIN5Wucs, spotify:artist:37jL2LnGjAkadOCszr8v7C, spotify:artist:3mZnhzeAyjpFhO3cIepzBr","TNT, Technoboy, Tuneboy","spotify:album:3wgOR8ReRn6pPkPL8nTygP","Reverse The Bass","spotify:artist:1CqOLQmjzVWXQTiIN5Wucs, spotify:artist:37jL2LnGjAkadOCszr8v7C, spotify:artist:3mZnhzeAyjpFhO3cIepzBr","TNT, Technoboy, Tuneboy","2021-07-23","https://i.scdn.co/image/ab67616d0000b27328f0d5715beb703d4b1fe0cf","1","1","193548","https://p.scdn.co/mp3-preview/7bbf42b7ea124098b78e02b9be7c89a17c87a679?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","NLH2L2100105","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T10:59:25Z"
"spotify:track:3DamFFqW32WihKkTVlwTYQ","Fireflies","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:3vf65wfk1EEjVhy6BjENsS","Ocean Eyes","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2009-01-01","https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32","1","9","228346","https://p.scdn.co/mp3-preview/43dc49fcebcb6d83f3dd0570044bc20b1d01f5a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM70972068","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T17:10:03Z"
"spotify:track:65uoaqX5qcjXZRheAj1qQT","Dernière danse","spotify:artist:0FEJqmeLRzsXj8hgcZaAyB","Indila","spotify:album:1r7XjAgjwlakmXC2GbPXjH","Mini World","spotify:artist:0FEJqmeLRzsXj8hgcZaAyB","Indila","2014-01-01","https://i.scdn.co/image/ab67616d0000b2734ae8ff731c49965bf2083405","1","1","213493","https://p.scdn.co/mp3-preview/25060cf42bd95a9d388464d8f9b17550a3c72699?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","FRUM71301049","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T17:10:18Z"
"spotify:track:6nek1Nin9q48AVZcWs9e9D","Paradise","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2R7iJz5uaHjLEVnMkloO18","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2011-10-24","https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d","1","3","278719","https://p.scdn.co/mp3-preview/1039fd50eaca0a268a2378a6c9244bf85c8b961f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAYE1101143","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T17:10:25Z"
"spotify:track:1P17dC1amhFzptugyAO7Il","Look What You Made Me Do","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6DEjYFkNZh67HP7R9PSZvv","reputation","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2017-11-10","https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b","1","6","211853","https://p.scdn.co/mp3-preview/d84e23333b83d492e778d55447e2eb47d71415ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USCJY1750000","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T17:10:32Z"
"spotify:track:5rxGDZNXLgB9fZcCWvzR6W","Valkyries - Edit","spotify:artist:1Od0hPnXSqA9pipLqNXJ7e","KELTEK","spotify:album:2eDz4IDTR3QdD6YdgV1XVW","Valkyries","spotify:artist:1Od0hPnXSqA9pipLqNXJ7e","KELTEK","2018-08-17","https://i.scdn.co/image/ab67616d0000b273977ef9585d841df33f494788","1","1","201262","https://p.scdn.co/mp3-preview/8968f3d16bf24a1454e70f36f66b3ca02a3831f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","NLS761800166","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T17:11:01Z"
"spotify:track:3eVrsMkvjmvv8s1idk2S88","Alpha State (QAPITAL 2020 Anthem)","spotify:artist:5eHs2hHfUzGizdnrLjc3CW, spotify:artist:4xhbLq3ngCmSNOIoqyS3AG","Act of Rage, Last Word","spotify:album:4IGVgZKk7QwNljxfJj3q76","The Alpha State (QAPITAL 2020 Anthem)","spotify:artist:5eHs2hHfUzGizdnrLjc3CW, spotify:artist:4xhbLq3ngCmSNOIoqyS3AG","Act of Rage, Last Word","2020-03-06","https://i.scdn.co/image/ab67616d0000b273a021bd69a3cee198d2df282a","1","1","235742","https://p.scdn.co/mp3-preview/7bce2b5a1553e2349a5e7301afaadfe98722acae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","NLH2L2000031","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-13T17:11:17Z"
"spotify:track:76e9eoJxKRoQhutO5CvDqX","WKND!","spotify:artist:5QySqc6yAFDx9m7fedFZmC, spotify:artist:0wr85NuJuAYZsRzP1lJgiV","Brennan Heart, Wildstylez","spotify:album:60ghuelB3S5nXjgOXn8Gh0","WKND!","spotify:artist:5QySqc6yAFDx9m7fedFZmC, spotify:artist:0wr85NuJuAYZsRzP1lJgiV","Brennan Heart, Wildstylez","2022-08-19","https://i.scdn.co/image/ab67616d0000b273c88760c197d7976e92481145","1","1","235200","https://p.scdn.co/mp3-preview/33e3ee88cb86dafaa7fd3ba49d1a2dc3f62e9b69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","NLH2L2200388","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2023-09-17T02:13:46Z"
